20020820,4950.01,4953.01,4907.59,4919.26
20020827,4947.8,4958.78,4875.04,4878.85
20020903,4654.15,4666.39,4577.94,4588.06
20020911,4690.88,4707.55,4649.21,4660.53
20020918,4531.13,4540.53,4469.67,4482.65
20020925,4277,4287.33,4127.59,4185.95
20021002,4246.16,4260.41,4171.76,4171.76
20021009,3974.51,4031.57,3947.61,3947.61
20021017,4182.8,4298.5,4177.34,4280.81
20021024,4611.42,4633.09,4542.33,4574.8
20021031,4547.13,4605.44,4540.87,4579.14
20021107,4757.36,4799.61,4737.36,4757.98
20021114,4700.53,4740.71,4665.56,4665.56
20021121,4722.06,4724.63,4573.08,4579.45
20021128,4698.58,4712.01,4612.6,4612.6
20021205,4725,4770.12,4718.05,4755.4
20021212,4713.61,4735.89,4623.3,4669.7
20021219,4498.13,4592.12,4480.98,4549.23
20021226,4510.46,4567.37,4462.21,4567.37
20030103,4618.24,4641.46,4602.24,4626.32
20030110,4882.07,4884.64,4827.91,4850.8
20030117,4955.94,4983.81,4897.03,4907.78
20030124,5141.8,5141.8,5053.55,5057.32
20030210,4696.57,4715.18,4627.53,4643.87
20030217,4629.57,4707.73,4613.36,4705.08
20030224,4585.8,4613.08,4538.55,4609.2
20030304,4481.55,4515.97,4476.55,4499.69
20030311,4272.02,4313.59,4240.6,4260.45
20030318,4504.82,4569.12,4488.28,4539.72
20030325,4473.56,4513.83,4473.56,4498.83
20030401,4275.39,4338.24,4275.39,4337.61
20030408,4559.22,4606.9,4544.83,4552.45
20030415,4494.19,4500.28,4466.02,4487.59
20030422,4622.25,4626.46,4556.1,4556.1
20030429,4186.23,4227.82,4142.62,4200.32
20030507,4253.43,4276.69,4217.73,4275.91
20030514,4329.42,4351.54,4317.99,4341.1
20030521,4248.68,4248.68,4212.5,4216.64
20030528,4538.07,4558.53,4474.41,4474.41
20030605,4743.98,4779.4,4720.36,4738.34
20030612,4846.72,4914.41,4822.17,4878.43
20030619,5038.34,5058.69,4982.37,5048.91
20030626,4932.02,4954.28,4894.01,4894.01
20030703,5167.86,5197.72,5095.31,5095.31
20030710,5367.35,5398.97,5282.38,5282.38
20030717,5389.52,5429.92,5299.51,5299.51
20030724,5324.63,5402.75,5305.7,5402.75
20030731,5294.52,5328.55,5260.83,5318.34
20030807,5257.56,5286.99,5193.18,5259.07
20030814,5463.54,5488.82,5410.12,5436.75
20030821,5545.97,5612.15,5522.42,5611.86
20030828,5596.56,5618.36,5504.52,5523.12
20030904,5681.26,5702.16,5624.75,5625.63
20030912,5627.35,5654.44,5600.18,5645.28
20030919,5790.38,5809.43,5747.1,5757.91
20030926,5690.87,5703.75,5650.11,5650.11
20031003,5716.79,5759,5701.87,5747.79
20031013,5907.21,5979.83,5906.96,5972.47
20031020,6041.53,6085.62,6026.39,6077.89
20031027,5946.02,5976.38,5941.09,5958.55
20031103,6054.31,6098.01,6024.97,6087.45
20031110,6053.14,6094.7,6024.66,6059.03
20031117,6011.74,6011.74,5942.41,5952.32
20031124,5845.49,5849.41,5802.69,5821.58
20031201,5768.69,5878.13,5752.15,5870.17
20031208,5869.16,5869.2,5842.21,5847.15
20031215,5910.92,5924.24,5874.06,5924.24
20031222,5782.09,5850.74,5773.64,5835.11
20031229,5870.08,5874.2,5804.89,5804.89
